email;exercicio;passo;AD;SB;MT;SP;PA;PM;MM;DM;AF;MF;OI;UT;RE;ER;DE;correct;feedback;timestamp
913;x+7=12;x=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:42:45
913;x+7=12;x=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:43:02
913;x+4=9;x=5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:43:44
913;x+3=15;x=12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:43:56
913;x+5=8;x=3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:44:05
913;x+12=27;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:44:19
913;x+16=32;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:44:25
913;x+8=15;x=7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:49:32
913;x+10=10;x=0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:49:40
913;x+7=23;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:49:53
913;x+11=27;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Poucos termos apresentados;2017-02-22 07:50:04
913;x+11=27;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Poucos termos apresentados;2017-02-22 07:50:20
913;x+11=27; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Equação vazia;2017-02-22 07:50:44
913;x+11=27;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:50:59
